iter	Logloss
0	0.6568328857
1	0.6251327515
2	0.5994875488
3	0.5748731689
4	0.554130188
5	0.5365048828
6	0.5214205322
7	0.5066334229
8	0.4919534302
9	0.4780996399
10	0.4674008789
11	0.4597407227
12	0.4520725098
13	0.4446227722
14	0.4366515503
15	0.4308762207
16	0.4240253906
17	0.4182704468
18	0.4130505981
19	0.4096095581
20	0.4061558228
21	0.401948761
22	0.3989242554
23	0.3952765198
24	0.3930656128
25	0.390477356
26	0.3876503601
27	0.3854241333
28	0.3831906128
29	0.3814555664
30	0.3801999207
31	0.3784964905
32	0.376758606
33	0.3752943726
34	0.3737366943
35	0.3722695313
36	0.3705391846
37	0.3689424438
38	0.3672989502
39	0.3661730347
40	0.3653502197
41	0.3642272034
42	0.3632810974
43	0.3620884705
44	0.3615610657
45	0.3607035217
46	0.3601074219
47	0.3592746582
48	0.35815625
49	0.3577017822
50	0.3569447937
51	0.3562553101
52	0.3551057739
53	0.3545724487
54	0.3539088745
55	0.353441803
56	0.3530238037
57	0.3525235596
58	0.351912384
59	0.3511305847
60	0.3506141052
61	0.3500439148
62	0.349451355
63	0.3489951477
64	0.3483927917
65	0.3476488647
66	0.3473496399
67	0.3470693359
68	0.3467050171
69	0.3462668457
70	0.3460176392
71	0.3454865723
72	0.3452481995
73	0.3447608948
74	0.3444822083
75	0.344222168
76	0.3438902588
77	0.3436398315
78	0.3429814453
79	0.3424481201
80	0.3422417297
81	0.3420455322
82	0.3418132324
83	0.3416470337
84	0.3414450989
85	0.3412177429
86	0.3410355225
87	0.3408414612
88	0.34034552
89	0.3401170044
90	0.3396713257
91	0.3394450378
92	0.3391216736
93	0.3390247192
94	0.3389060364
95	0.3385916138
96	0.3380713501
97	0.3378869019
98	0.3377347412
99	0.3376335449
100	0.33710601101	0.3346184387
102	0.334533783
103	0.3341522217
104	0.3340525513
105	0.3337989807
106	0.333600769
107	0.3334933472
108	0.3334013367
109	0.3332622681
110	0.3330664368
111	0.332989563
112	0.3327402344
113	0.3326615906
114	0.3324524841
115	0.3317097778
116	0.3314449768
117	0.3312718201
118	0.3311690063
119	0.3310769348
120	0.3308952026
121	0.3307462158
122	0.3306724243
123	0.3305899658
124	0.3304656982
125	0.3302315674
126	0.3300862732
127	0.3300037842
128	0.3299151306
129	0.329828125
130	0.3296715393
131	0.3295702515
132	0.3291976929
133	0.3288241577
134	0.3284472656
135	0.3283522949
136	0.3282424316
137	0.3280596008
138	0.3277485352
139	0.3275232544
140	0.3273590088
141	0.3272535706
142	0.3271641846
143	0.3270605774
144	0.3268259277
145	0.3267407532
146	0.3266680908
147	0.326552063
148	0.3264820251
149	0.3263726501
150	0.3262689209
151	0.3261880493
152	0.326068512
153	0.325977478
154	0.3258820801
155	0.3258071289
156	0.3257022095
157	0.3256359863
158	0.3255242615
159	0.3254258423
160	0.3252758484
161	0.3252307129
162	0.3251574707
163	0.3250387878
164	0.3247626343
165	0.3246954346
166	0.3245863342
167	0.3244555969
168	0.3243519897
169	0.324244873
170	0.3241766968
171	0.3239515076
172	0.3238666992
173	0.3237535706
174	0.3236963501
175	0.3236209106
176	0.323496521
177	0.3234273071
178	0.3233512878
179	0.3232521973
180	0.3231367798
181	0.3228920898
182	0.3227879028
183	0.3226931152
184	0.3226138306
185	0.3224884949
186	0.3223903809
187	0.3221516113
188	0.3219723816
189	0.3219121704
190	0.3218537598
191	0.3215758362
192	0.3214614258
193	0.3214052734
194	0.3212877197
195	0.3211676025
196	0.3210880127
197	0.3209946289
198	0.3209085693
199	0.3208343506
200	0.3207471924
201	0.3203552551
202	0.320190918
203	0.3200268555
204	0.3199271545
205	0.3197228394
206	0.3196032104
207	0.3195447998
208	0.3194306946
209	0.319309021
210	0.3192429199
211	0.3191305847
212	0.3190141296
213	0.3189515991
214	0.3188774414
215	0.3187265015
216	0.3185636597
217	0.3184580688
218	0.3183892212
219	0.3182327881
220	0.3180827026
221	0.3180106506
222	0.3178970947
223	0.3177763977
224	0.3176190796
225	0.3175575867
226	0.3174550171
227	0.3173442383
228	0.3172408447
229	0.3171165161
230	0.317010376
231	0.3168699341
232	0.3167360229
233	0.3166530762
234	0.3165342407
235	0.316468811
236	0.316280426
237	0.3161548767
238	0.3160909424
239	0.315989624
240	0.3158490601
241	0.3157414551
242	0.3156043091
243	0.3154892578
244	0.3153887024
245	0.3152946777
246	0.3151775208
247	0.3149804077
248	0.3148565674
249	0.3147398376
250	0.3145922852
251	0.3144792175
252	0.3144042053
253	0.3143265991
254	0.314170166
255	0.313925354
256	0.3138672485
257	0.3137774658
258	0.3136931763
259	0.3136194458
260	0.3134851685
261	0.3134206238
262	0.3132808228
263	0.3131680298
264	0.3130368042
265	0.3129404297
266	0.3128615112
267	0.3127919922
268	0.3127148132
269	0.312581665
270	0.312507843
271	0.3124098206
272	0.3122802429
273	0.3121338196
274	0.3120439453
275	0.3119733887
276	0.3118624268
277	0.3117727966
278	0.311712677
279	0.3115987549
280	0.3114516907
281	0.311352478
282	0.3112415161
283	0.3111668396
284	0.3110788269
285	0.3109993286
286	0.3108985596
287	0.3108363647
288	0.3107400513
289	0.3106488037
290	0.3105450439
291	0.3104499512
292	0.3103279419
293	0.3102564392
294	0.310194397
295	0.3101227417
296	0.3100055542
297	0.3099519653
298	0.3099075928
299	0.3098276672
68
8863525
