iter	Passed	Remaining
0	3	927
1	11	1676
2	17	1730
3	23	1767
4	30	1806
5	36	1803
6	42	1787
7	49	1791
8	53	1732
9	59	1730
10	65	1717
11	69	1659
12	78	1731
13	84	1732
14	91	1733
15	97	1732
16	107	1796
17	116	1826
18	123	1820
19	127	1787
20	133	1778
21	137	1735
22	144	1738
23	151	1738
24	160	1768
25	164	1730
26	173	1757
27	177	1727
28	184	1727
29	197	1780
30	200	1743
31	208	1746
32	212	1719
33	221	1736
34	228	1730
35	235	1728
36	241	1717
37	247	1708
38	257	1721
39	265	1722
40	268	1698
41	290	1784
42	300	1796
43	307	1786
44	312	1768
45	316	1747
46	328	1769
47	339	1781
48	343	1757
49	346	1734
50	360	1759
51	367	1751
52	373	1738
53	380	1735
54	389	1734
55	399	1740
56	404	1723
57	410	1714
58	421	1721
59	425	1702
60	432	1695
61	443	1704
62	451	1697
63	458	1689
64	462	1672
65	469	1664
66	472	1644
67	479	1637
68	484	1621
69	492	1616
70	498	1608
71	505	1601
72	514	1599
73	524	1601
74	528	1585
75	534	1575
76	540	1564
77	547	1557
78	551	1544
79	558	1535
80	562	1519
81	569	1514
82	579	1516
83	588	1513
84	600	1517
85	604	1504
86	614	1505
87	623	1500
88	632	1500
89	640	1493
90	645	1482
91	652	1475
92	660	1470
93	675	1479
94	678	1464
95	683	1452
96	688	1441
97	693	1429
98	697	1416
99	702	14010100	708	139101	742	1441
102	749	1433
103	757	1427
104	767	1425
105	773	1416
106	793	1430
107	810	1441
108	823	1443
109	837	1446
110	854	1455
111	864	1451
112	874	1446
113	891	1454
114	900	1449
115	920	1459
116	939	1469
117	959	1479
118	969	1474
119	985	1478
120	993	1469
121	1005	1466
122	1021	1470
123	1032	1465
124	1042	1459
125	1058	1462
126	1075	1464
127	1086	1460
128	1103	1463
129	1120	1464
130	1130	1458
131	1146	1459
132	1157	1453
133	1174	1454
134	1184	1447
135	1201	1449
136	1212	1442
137	1225	1439
138	1236	1431
139	1252	1431
140	1262	1424
141	1276	1419
142	1281	1406
143	1285	1393
144	1290	1379
145	1294	1365
146	1298	1351
147	1302	1337
148	1306	1324
149	1311	1311
150	1315	1297
151	1319	1285
152	1324	1272
153	1328	1259
154	1332	1246
155	1337	1234
156	1341	1222
157	1346	1209
158	1350	1197
159	1355	1185
160	1370	1183
161	1374	1170
162	1378	1158
163	1382	1146
164	1386	1134
165	1391	1123
166	1406	1120
167	1412	1109
168	1416	1097
169	1421	1087
170	1426	1076
171	1431	1065
172	1437	1054
173	1441	1043
174	1446	1033
175	1452	1023
176	1456	1012
177	1462	1002
178	1468	992
179	1488	992
180	1497	984
181	1513	981
182	1517	970
183	1521	958
184	1524	947
185	1527	936
186	1533	926
187	1537	915
188	1540	904
189	1543	893
190	1550	884
191	1554	874
192	1557	863
193	1560	852
194	1564	842
195	1569	832
196	1573	822
197	1576	812
198	1580	802
199	1585	792
200	1588	782
201	1592	772
202	1596	762
203	1601	753
204	1604	743
205	1608	733
206	1612	724
207	1615	714
208	1618	704
209	1620	694
210	1623	684
211	1628	675
212	1632	666
213	1636	657
214	1639	648
215	1643	639
216	1647	630
217	1656	623
218	1659	613
219	1663	604
220	1666	595
221	1669	586
222	1672	577
223	1675	568
224	1678	559
225	1681	550
226	1683	541
227	1685	532
228	1688	523
229	1691	514
230	1694	506
231	1696	497
232	1699	488
233	1702	480
234	1704	471
235	1708	463
236	1711	454
237	1713	446
238	1716	438
239	1718	429
240	1721	421
241	1724	413
242	1726	405
243	1729	396
244	1732	388
245	1734	380
246	1737	372
247	1740	364
248	1742	356
249	1745	349
250	1747	341
251	1750	333
252	1752	325
253	1755	317
254	1757	310
255	1760	302
256	1763	295
257	1765	287
258	1768	279
259	1770	272
260	1773	265
261	1776	257
262	1779	250
263	1781	242
264	1784	235
265	1786	228
266	1789	221
267	1792	214
268	1794	206
269	1797	199
270	1800	192
271	1802	185
272	1805	178
273	1807	171
274	1810	164
275	1812	157
276	1814	150
277	1818	143
278	1820	137
279	1822	130
280	1825	123
281	1827	116
282	1829	109
283	1832	103
284	1834	96
285	1837	89
286	1839	83
287	1842	76
288	1844	70
289	1847	63
290	1851	57
291	1854	50
292	1856	44
293	1860	37
294	1862	31
295	1865	25
296	1868	18
297	1871	12
298	1874	6
299	1876	0
